match_id,has_standing,has_recent_xg_real,has_recent_xg_proxy,has_lineup,has_odds,notes
WC2026-A1,true,false,true,false,false,
WC2026-A2,true,false,true,false,false,
WC2026-B3,true,false,true,false,false,
WC2026-D4,true,false,true,false,false,
WC2026-C5,true,false,true,false,false,
WC2026-D6,true,false,true,false,false,
WC2026-C7,true,false,true,false,false,
WC2026-B8,true,false,true,false,false,
WC2026-E9,true,false,true,false,false,
WC2026-E10,true,false,true,false,false,
WC2026-F11,true,false,true,false,false,
WC2026-F12,true,false,true,false,false,
WC2026-H13,true,false,true,false,false,
WC2026-H14,true,false,true,false,false,
WC2026-G15,true,false,true,false,false,
WC2026-G16,true,false,true,false,false,
WC2026-I17,true,false,true,false,false,
WC2026-I18,true,false,true,false,false,
WC2026-J19,true,false,true,false,false,
WC2026-J20,true,false,true,false,false,
WC2026-L21,true,false,true,false,false,
WC2026-L22,true,false,true,false,false,
WC2026-K23,true,false,true,false,false,
WC2026-K24,true,false,true,false,false,
WC2026-A25,true,true,false,false,false,
WC2026-B26,true,true,false,false,false,
WC2026-B27,true,true,false,false,false,
WC2026-A28,true,true,false,false,false,
WC2026-C29,true,true,false,false,false,
WC2026-C30,true,true,false,false,false,
WC2026-D31,true,true,false,false,false,
WC2026-D32,true,true,false,false,false,
WC2026-E33,true,true,false,false,true,
WC2026-E34,true,true,false,false,true,
WC2026-F35,true,true,false,false,true,
WC2026-F36,true,true,false,false,true,
WC2026-H37,true,true,false,false,true,
WC2026-H38,true,true,false,false,true,
WC2026-G39,true,true,false,false,true,
WC2026-G40,true,true,false,false,false,
WC2026-I41,true,true,false,false,false,
WC2026-I42,true,true,false,false,false,
WC2026-J43,true,true,false,false,false,
WC2026-J44,true,true,false,false,false,
WC2026-L45,true,true,false,false,false,
WC2026-L46,true,true,false,false,false,
WC2026-K47,true,true,false,false,false,
WC2026-K48,true,true,false,false,false,
WC2026-C49,true,true,false,false,false,
WC2026-C50,true,true,false,false,false,
WC2026-B51,true,true,false,false,false,
WC2026-B52,true,true,false,false,false,
WC2026-A53,true,true,false,false,false,
WC2026-A54,true,true,false,false,false,
WC2026-E55,true,true,false,false,false,
WC2026-E56,true,true,false,false,false,
WC2026-F57,true,true,false,false,false,
WC2026-F58,true,true,false,false,false,
WC2026-D59,true,true,false,false,false,
WC2026-D60,true,true,false,false,false,
WC2026-I61,true,true,false,false,false,
WC2026-I62,true,true,false,false,false,
WC2026-G63,true,true,false,false,false,
WC2026-G64,true,true,false,false,false,
WC2026-H65,true,true,false,false,false,
WC2026-H66,true,true,false,false,false,
WC2026-L67,true,true,false,false,false,
WC2026-L68,true,true,false,false,false,
WC2026-J69,true,true,false,false,false,
WC2026-J70,true,true,false,false,false,
WC2026-K71,true,true,false,false,false,
WC2026-K72,true,true,false,false,false,
