match_id,check,severity,detail
WC2026-D32,lineup_confirmed_after_kickoff,warning,lineup Nestory Irankunda confirmed after kickoff
WC2026-D32,lineup_confirmed_after_kickoff,warning,lineup Connor Metcalfe confirmed after kickoff
WC2026-E33,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-E33,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-E33,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-E33,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-E33,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-E33,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-E34,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-E34,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-E34,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F35,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F35,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F35,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F35,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F35,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F35,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F36,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F36,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F36,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F36,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F36,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
WC2026-F36,odds_after_kickoff,warning,odds fetched 2026-06-21T07:35:44+00:00 after kickoff
