match_id,event_id,minute,stoppage_minute,team,event_type,player,assist_player,score_home_after,score_away_after,card_type,sub_in,sub_out,source,confirmed
WC2026-A1,WC2026-A1_ft,90,,,fulltime,,,2,0,,,,wc2026_match_xg,true
WC2026-A2,WC2026-A2_ft,90,,,fulltime,,,2,1,,,,wc2026_match_xg,true
WC2026-B3,WC2026-B3_ft,90,,,fulltime,,,1,1,,,,wc2026_match_xg,true
WC2026-D4,WC2026-D4_ft,90,,,fulltime,,,4,1,,,,wc2026_match_xg,true
WC2026-C5,WC2026-C5_ft,90,,,fulltime,,,0,1,,,,wc2026_match_xg,true
WC2026-D6,WC2026-D6_ft,90,,,fulltime,,,2,0,,,,wc2026_match_xg,true
WC2026-C7,WC2026-C7_ft,90,,,fulltime,,,1,1,,,,wc2026_match_xg,true
WC2026-B8,WC2026-B8_ft,90,,,fulltime,,,1,1,,,,wc2026_match_xg,true
WC2026-E9,WC2026-E9_ft,90,,,fulltime,,,1,0,,,,wc2026_match_xg,true
WC2026-E10,WC2026-E10_ft,90,,,fulltime,,,7,1,,,,wc2026_match_xg,true
WC2026-F11,WC2026-F11_ft,90,,,fulltime,,,2,2,,,,wc2026_match_xg,true
WC2026-F12,WC2026-F12_ft,90,,,fulltime,,,5,1,,,,wc2026_match_xg,true
WC2026-H13,WC2026-H13_ft,90,,,fulltime,,,1,1,,,,wc2026_match_xg,true
WC2026-H14,WC2026-H14_ft,90,,,fulltime,,,0,0,,,,wc2026_match_xg,true
WC2026-G15,WC2026-G15_ft,90,,,fulltime,,,2,2,,,,wc2026_match_xg,true
WC2026-G16,WC2026-G16_ft,90,,,fulltime,,,1,1,,,,wc2026_match_xg,true
WC2026-I17,WC2026-I17_ft,90,,,fulltime,,,3,1,,,,wc2026_match_xg,true
WC2026-I18,WC2026-I18_ft,90,,,fulltime,,,1,4,,,,wc2026_match_xg,true
WC2026-J19,WC2026-J19_ft,90,,,fulltime,,,3,0,,,,wc2026_match_xg,true
WC2026-J20,WC2026-J20_ft,90,,,fulltime,,,3,1,,,,wc2026_match_xg,true
WC2026-L21,WC2026-L21_ft,90,,,fulltime,,,1,0,,,,wc2026_match_xg,true
WC2026-L22,WC2026-L22_ft,90,,,fulltime,,,4,2,,,,wc2026_match_xg,true
WC2026-K23,WC2026-K23_ft,90,,,fulltime,,,1,1,,,,wc2026_match_xg,true
WC2026-K24,WC2026-K24_ft,90,,,fulltime,,,1,3,,,,wc2026_match_xg,true
WC2026-A25,WC2026-A25_ft,90,,,fulltime,,,1,1,,,,wc2026_match_xg,true
WC2026-B26,WC2026-B26_ft,90,,,fulltime,,,4,1,,,,wc2026_match_xg,true
WC2026-B27,WC2026-B27_ft,90,,,fulltime,,,6,0,,,,wc2026_match_xg,true
WC2026-A28,WC2026-A28_ft,90,,,fulltime,,,1,0,,,,wc2026_match_xg,true
WC2026-C29,WC2026-C29_ft,90,,,fulltime,,,3,0,,,,wc2026_match_xg,true
WC2026-C30,WC2026-C30_ft,90,,,fulltime,,,0,1,,,,wc2026_match_xg,true
WC2026-D31,WC2026-D31_ft,90,,,fulltime,,,0,1,,,,wc2026_match_xg,true
WC2026-D32,WC2026-D32_ft,90,,,fulltime,,,2,0,,,,wc2026_match_xg,true
WC2026-F35,wc2026-f35_12_netherlands_goal_cody gakpo,12,,Netherlands,goal,Cody Gakpo,,1,0,,,,thestatsapi,true
WC2026-F35,wc2026-f35_23_netherlands_goal_memphis depay,23,,Netherlands,goal,Memphis Depay,,2,0,,,,thestatsapi,true
WC2026-F35,wc2026-f35_67_sweden_goal_viktor gyokeres,67,,Sweden,goal,Viktor Gyokeres,,2,1,,,,thestatsapi,true
